ID;Aktywny (0 lub 1);Nazwa;Kategorie (x,y,z…);Cena zawiera podatek. (brutto);ID reguły podatku;Koszt własny;W sprzedaży (0 lub 1);Wartość rabatu;Procent rabatu;Rabat od dnia (rrrr-mm-dd);Rabat do dnia (rrrr-mm-dd);Indeks #;Kod dostawcy #;Dostawca;Marka;EAN13;UPC;Ecotax;Szerokość;Wysokość;Głębokość;Waga;Czas dostawy produktów dostępnych w magazynie:;Czas dostawy wyprzedanych produktów z możliwością rezerwacji:;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu;Widoczność;Dodatkowe koszty przesyłki;Jednostka dla ceny za jednostkę;Cena za jednostkę;Podsumowanie;Opis;Tagi (x,y,z…);Meta-tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Etykieta, gdy w magazynie;Etykieta kiedy dozwolone ponowne zamówienie;Dostępne do zamówienia (0 = Nie, 1 = Tak);Data dostępności produktu;Data wytworzenia produktu;Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z…);Tekst alternatywny dla zdjęć (x,y,z…);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online (0 = Nie, 1 = Tak);Stan:;Konfigurowalny (0 = Nie, 1 = Tak);Można wgrywać pliki (0 = Nie, 1 = Tak);Pola tekstowe (0 = Nie, 1 = Tak);Akcja kiedy brak na stanie;Wirtualny produkt (0 = No, 1 = Yes);Adres URL pliku;Ilość dozwolonych pobrań;Data wygaśnięcia (rrrr-mm-dd);Liczba dni;ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn;Akcesoria (x,y,z…)
11;1;YORK kinkiet W01307BK Cosmo Light;KINKIETY;399.00;1;;0;;;;;;;;Cosmo Light;;;;;;;;;;5;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Cosmo Light</dd><dt>Nr katalogowy:</dt><dd>W01307BK</dd><dt>EAN:</dt><dd>5902115960307</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal</dd><dt>Kolor</dt><dd>czarny</dd><dt>Wysokość</dt><dd>48 cm</dd><dt>Szerokość</dt><dd>14 cm</dd><dt>Źródło światła</dt><dd>1 x E 27 max 40W</dd><dt>Lampa sprzedawana jest z żarówkami</dt><dd></dd></dl>;Cosmo Light;Meta title-11;Meta keywords-11;Meta description-11;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/york_w01307bk.png, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
12;1;BERGEN graphite 9707 Nowodvorski;KINKIETY;99.00;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;351;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>9707</dd><dt>EAN:</dt><dd>5903139970792</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>stal lakierowana</dd><dt>Wysokość</dt><dd>23 cm</dd><dt>Szerokość</dt><dd>11.5 cm</dd><dt>Odległość od ściany</dt><dd>7 cm</dd><dt>Źródło światła</dt><dd>2 x GU10 max 35W IP20</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-12;Meta keywords-12;Meta description-12;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/BERGEN_graphite_9707.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
13;1;LOGI white 107140 Markslojd;KINKIETY;349.00;1;;0;;;;;;;;Markslojd;;;;;;;;;;417;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Markslojd</dd><dt>Nr katalogowy:</dt><dd>107140</dd><dt>EAN:</dt><dd>7330024572775</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal</dd><dt>Wysokość</dt><dd>30 cm</dd><dt>Szerokość</dt><dd>20 cm</dd><dt>Odległość od ściany</dt><dd>27 cm</dd><dt>Źródło światła</dt><dd>1 x GU10 max 7W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Markslojd;Meta title-13;Meta keywords-13;Meta description-13;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/107140a.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
14;1;DIONE kinkiet gold 1092Y30 Aldex;KINKIETY;572.00;1;;0;;;;;;;;Aldex;;;;;;;;;;4-14;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Aldex</dd><dt>Nr katalogowy:</dt><dd>1092Y30</dd><dt>EAN:</dt><dd>5904798654351</dd><dt>Wysyłka:</dt><dd>4-14 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>~230V</dd><dt>Materiał</dt><dd>metal, szkło</dd><dt>Wysokość</dt><dd>67.5 cm</dd><dt>Szerokość</dt><dd>25 cm</dd><dt>Odległość od ściany</dt><dd>38 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W + 2x E14 max 40W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Aldex;Meta title-14;Meta keywords-14;Meta description-14;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/1092Y30.jpeg, https://www.imperiumlamp.pl/files/producers/aldex_logo.png;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15;1;MALMO white 9704 Nowodvorski;KINKIETY;99.00;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;54;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>9704</dd><dt>EAN:</dt><dd>5903139970495</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>stal lakierowana</dd><dt>Wysokość</dt><dd>30 cm</dd><dt>Szerokość</dt><dd>5.5 cm</dd><dt>Odległość od ściany</dt><dd>10 cm</dd><dt>Źródło światła</dt><dd>2 x GU10 max 35W, IP20</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-15;Meta keywords-15;Meta description-15;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/MALMO_white_9704.jpg, https://www.imperiumlamp.pl/files/100/img_2D_0006-5.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
16;1;DENVER kinkiet W01987WH NI Cosmo Light;KINKIETY;319.00;1;;0;;;;;;;;Cosmo Light;;;;;;;;;;4-8;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Cosmo Light</dd><dt>Nr katalogowy:</dt><dd>W01987WH NI</dd><dt>EAN:</dt><dd>5902115960987</dd><dt>Wysyłka:</dt><dd>4-8 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal, abażur</dd><dt>Wysokość</dt><dd>36.5 cm</dd><dt>Szerokość</dt><dd>11.5 cm</dd><dt>Źródło światła</dt><dd>1 x E14 max 40W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Cosmo Light;Meta title-16;Meta keywords-16;Meta description-16;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/denver_w01987wh_ni.png, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
17;1;HILTON LED kinkiet 2579 TK Lighting;KINKIETY;271.00;1;;0;;;;;;;;TK Lighting;;;;;;;;;;;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>TK Lighting</dd><dt>Nr katalogowy:</dt><dd>2579</dd><dt>EAN:</dt><dd>5901780525798</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>~230V</dd><dt>Materiał</dt><dd>metal, abażur</dd><dt>Wysokość</dt><dd>34 cm</dd><dt>Szerokość</dt><dd>20 cm</dd><dt>Odległość od ściany</dt><dd>28 cm</dd><dt>Źródło światła</dt><dd>1x E27 max 60W + 1 x COB 3W LED</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;TK Lighting;Meta title-17;Meta keywords-17;Meta description-17;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/2579_HILTON.jpg, https://www.imperiumlamp.pl/files/producers/tk_lighting_logotyp1.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
18;1;ERICH kinkiet MOD221-WL-02-G Maytoni;KINKIETY;369.37;1;;0;;;;;;;;Maytoni;;;;;;;;;;6-12;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Maytoni</dd><dt>Nr katalogowy:</dt><dd>MOD221-WL-02-G</dd><dt>EAN:</dt><dd>4251110011875</dd><dt>Wysyłka:</dt><dd>6-12 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal, szkło</dd><dt>Wysokość</dt><dd>36 cm</dd><dt>Szerokość</dt><dd>15 cm</dd><dt>Odległość od ściany</dt><dd>33 cm</dd><dt>Źródło światła</dt><dd> 2 x E14 max 40W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Maytoni;Meta title-18;Meta keywords-18;Meta description-18;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/MOD221-WL-02-G_off_(w).jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
19;1;DENVER kinkiet W01963WH AU Cosmo Light;KINKIETY;319.00;1;;0;;;;;;;;Cosmo Light;;;;;;;;;;4-8;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Cosmo Light</dd><dt>Nr katalogowy:</dt><dd>W01963WH AU</dd><dt>EAN:</dt><dd>5902115960953</dd><dt>Wysyłka:</dt><dd>4-8 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal, abażur</dd><dt>Wysokość</dt><dd>36.5 cm</dd><dt>Szerokość</dt><dd>11.5 cm</dd><dt>Źródło światła</dt><dd>1 x E14 max 40W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Cosmo Light;Meta title-19;Meta keywords-19;Meta description-19;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/denver_w01963wh_au.png, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
20;1;AIDA 814D Aldex;KINKIETY;628.95;1;;0;;;;;;;;Aldex;;;;;;;;;;4-14;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Aldex</dd><dt>Nr katalogowy:</dt><dd>814D</dd><dt>EAN:</dt><dd>5904798636265</dd><dt>Wysyłka:</dt><dd>4-14 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>stal</dd><dt>Wysokość</dt><dd>190 cm</dd><dt>Szerokość</dt><dd>120 cm</dd><dt>Klosz</dt><dd>14 cm + 17 cm</dd><dt>Źródło światła</dt><dd>2 x E27 max 60W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Aldex;Meta title-20;Meta keywords-20;Meta description-20;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/1-70.jpg, https://www.imperiumlamp.pl/files/100/814d.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
21;1;HAGA white 9708 Nowodvorski;KINKIETY;99.00;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;1415;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>9708</dd><dt>EAN:</dt><dd>5903139970891</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>stal lakierowana</dd><dt>Wysokość</dt><dd>15 cm</dd><dt>Szerokość</dt><dd>25.5 cm</dd><dt>Odległość od ściany</dt><dd>4 cm</dd><dt>Źródło światła</dt><dd>2 x G9 max 40W  IP20</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-21;Meta keywords-21;Meta description-21;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/HAGA_white_9708.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
22;1;EYE SUPER black kinkiet 6501 Nowodvorski;KINKIETY;169.00;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;341;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>6501</dd><dt>EAN:</dt><dd>5903139650199</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>stal</dd><dt>Wysokość</dt><dd>45 cm</dd><dt>Źródło światła</dt><dd>1 x GU10 max 35W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-22;Meta keywords-22;Meta description-22;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/6501.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
